price,size,bedrooms,age,style
66500,741,1,Between 11 and 20 years,Traditional
66000,741,11,Between 11 and 20 years,Traditional
68500,790,1,Between 11 and 20 years,Traditional
102000,2783,2,Between 11 and 20 years,Traditional
54000,1165,2,More than 20 years,Traditional
143000,2331,2,More than 20 years,Traditional
98900,1228,2,More than 20 years,Traditional
98350,1228,2,More than 20 years,Traditional
98847,1228,2,More than 20 years,Traditional
98900,1228,2,More than 20 years,Traditional
101313,1228,2,More than 20 years,Traditional
125000,1520,2,Between 11 and 20 years,Traditional
62500,1440,2,More than 20 years,Traditional
92000,1001,2,More than 20 years,Traditional
120000,1438,2,More than 20 years,Traditional
23000,956,2,More than 20 years,Traditional
22654,1080,2,More than 20 years,Traditional
95000,1745,2,More than 20 years,Traditional
64900,971,2,More than 20 years,Tradition
75000,1303,2,More than 20 years,Traditional
68000,1590,2,More than 20 years,Traditional
23000,933,2,More than 20 years,Traditional
40101,850,2,More than 20 years,Traditional
93000,2332,2,More than 20 years,Traditional
58500,1562,2,More than 20 years,Traditional
103500,1452,3,Between 11 and 20 years,Traditional
102565,2890,3,More than 20 years,Traditional
979,2419,3,Between 11 and 20 years,Traditional
99000,1808,3,Between 11 and 20 years,Traditional
82000,1396,3,More than 20 years,Traditional
171500,2216,3,Up to 5 years,Traditional
135900,1425,3,Between 11 and 20 years,Tradition
80001,2291,3,More than 20 years,Traditional
136000,2024,3,Up to 5 years,Traditional
167500,2560,3,Up to 5 years,Traditional
134000,2246,3,Up to 5 years,Traditional
270000,5814,3,More than 20 years,Traditional
315000,3835,3,More than 20 years,Traditional
207000,2870,3,Between 11 and 20 years,Traditional
197500,3128,3,More than 20 years,Traditional
335000,3060,3,More than 20 years,Traditional
219000,2918,3,More than 20 years,Traditional
189900,1936,3,More than 20 years,Traditional
79900,2610,3,More than 20 years,Traditional
123400,2446,3,More than 20 years,Traditional
123000,2590,3,More than 20 years,Traditional
130500,2910,3,More than 20 years,Traditional
128000,1304,3,More than 20 years,Traditional
68000,1342,3,More than 20 years,Traditional
62000,1090,3,More than 20 years,Traditional
124000,2989,3,More than 20 years,Traditional
50000,2191,3,More than 20 years,Traditional
89900,,3,More than 20 years,Traditional
125000,1912,3,More than 20 years,Traditional
147000,2126,3,More than 20 years,Traditional
246000,2666,3,More than 20 years,Traditional
76000,1286,3,More than 20 years,Traditional
135000,2135,3,More than 20 years,Traditional
85000,140,3,More than 20 years,Traditional
124900,2272,3,More than 20 years,Traditional
98900,1956,3,More than 20 years,Traditional
120000,1644,3,More than 20 years,Traditional
134000,2692,3,More than 20 years,Tradition
115495,2707,3,More than 20 years,Tradition
81900,1404,3,More than 20 years,Tradition
34000,1111,3,More than 20 years,Traditional
91500,1519,3,More than 20 years,Traditional
109200,2100,3,More than 20 years,Traditional
42000,1370,3,More than 20 years,Traditional
110000,1819,3,More than 20 years,Traditional
142000,2545,3,More than 20 years,Traditional
79900,1511,3,More than 20 years,Traditional
134900,2403,3,More than 20 years,Traditional
130000,2468,3,More than 20 years,Traditional
125000,2367,3,More than 20 years,Traditional
108000,2461,3,More than 20 years,Traditional
133000,2496,3,More than 20 years,Traditional
126000,2301,3,More than 20 years,Traditional
121900,2200,3,More than 20 years,Traditional
116000,,3,More than 20 years,Traditional
135000,2876,3,More than 20 years,Traditional
150000,2523,3,More than 20 years,Traditional
136400,2534,3,More than 20 years,Traditional
97500,1790,3,More than 20 years,Traditional
141000,2703,3,More than 20 years,Traditional
185000,2495,3,Between 11 and 20 years,Traditional
127000,2009,3,More than 20 years,Traditional
290000,2824,3,More than 20 years,Traditional
95700,1485,3,More than 20 years,Traditional
139900,3266,3,More than 20 years,Traditional
97500,1358,3,More than 20 years,Traditional
90900,1337,3,More than 20 years,Traditional
72500,1411,3,More than 20 years,Traditional
137500,1965,3,More than 20 years,Traditional
116000,1843,3,Between 11 and 20 years,Traditional
121500,1897,3,Between 11 and 20 years,Traditional
149900,2486,3,Between 11 and 20 years,Traditional
99000,1467,3,Between 11 and 20 years,Traditional
100000,1453,3,Between 11 and 20 years,Traditional
208000,3157,3,Between 11 and 20 years,Traditional
130000,1296,3,Between 11 and 20 years,Traditional
102500,1800,3,More than 20 years,Traditional
190000,3264,3,Between 11 and 20 years,Traditional
119400,1996,3,Between 11 and 20 years,Traditional
212500,3453,3,Between 11 and 20 years,Traditional
263000,3682,3,Between 11 and 20 years,Traditional
125000,1879,3,Between 11 and 20 years,Traditional
125000,2071,3,Between 11 and 20 years,Traditional
206500,2132,3,Between 11 and 20 years,Traditional
117500,1979,3,Between 6 and 10 years,Traditional
175000,2469,3,Between 6 and 10 years,Traditional
192500,2681,3,Between 6 and 10 years,Traditional
111900,1615,3,Between 6 and 10 years,Traditional
260000,3052,3,Between 6 and 10 years,Traditional
95000,2332,33,Between 6 and 10 years,Traditional
188000,3125,3,Between 6 and 10 years,Traditional
138900,2083,3,Between 6 and 10 years,Traditional
163000,2207,3,Between 6 and 10 years,Traditional
115000,2007,3,Between 6 and 10 years,Traditional
142900,1995,3,Between 6 and 10 years,Traditional
168500,2201,3,Between 6 and 10 years,Traditional
146000,2128,,Between 6 and 10 years,Traditional
106000,1843,3,Between 6 and 10 years,Traditional
124400,1848,3,Between 6 and 10 years,Traditional
124000,1372,3,Between 6 and 10 years,Traditional
177500,2636,3,Between 6 and 10 years,Traditional
149900,2228,3,Up to 5 years,Traditional
161500,2302,3,Between 6 and 10 years,Traditional
142900,1992,3,Between 6 and 10 years,Traditional
161900,2415,3,Up to 5 years,Traditional
100900,1514,3,Between 6 and 10 years,Traditional
146400,2444,3,Between 6 and 10 years,Traditional
113700,2016,3,Up to 5 years,Traditional
171000,1588,3,Up to 5 years,Traditional
168000,2325,3,Up to 5 years,Traditional
149000,2135,3,Up to 5 years,Traditional
125000,1882,3,Up to 5 years,Traditional
75000,1617,3,Up to 5 years,Traditional
125000,2127,3,Up to 5 years,Traditional
130900,2062,3,Up to 5 years,Traditional
109500,1970,3,Up to 5 years,Traditional
103900,1716,3,Up to 5 years,Traditional
127800,2131,3,Up to 5 years,Traditional
219000,2200,3,Up to 5 years,Traditional
110050,2084,3,Up to 5 years,Traditional
206000,2342,3,Up to 5 years,Traditional
95000,1741,3,Up to 5 years,Traditional
122000,2044,3,Up to 5 years,Traditional
214000,3041,3,Up to 5 years,Traditional
115900,1700,3,Up to 5 years,Traditional
122900,2312,3,Up to 5 years,Traditional
129900,2072,3,Up to 5 years,Traditional
155536,2348,3,Up to 5 years,Traditional
169900,2342,3,Up to 5 years,Traditional
153900,2522,3,Up to 5 years,Traditional
107900,1707,3,Up to 5 years,Traditional
131000,2122,3,Up to 5 years,Traditional
114500,2103,3,Up to 5 years,Traditional
114900,1805,3,Up to 5 years,Traditional
130000,1980,3,Up to 5 years,Traditional
135500,2122,3,Up to 5 years,Traditional
157900,2462,3,Up to 5 years,Traditional
161000,2420,3,Up to 5 years,Traditional
124900,1840,3,Up to 5 years,Traditional
120000,1864,3,Up to 5 years,Traditional
124175,1864,3,Up to 5 years,Traditional
165900,2174,3,Up to 5 years,Traditional
207255,2135,3,Up to 5 years,Traditional
252900,2977,3,Up to 5 years,Traditional
226900,2879,3,Up to 5 years,Traditional
132000,1873,3,Up to 5 years,Traditional
124900,1921,3,Up to 5 years,Traditional
135900,1405,3,Up to 5 years,Traditional
158000,2376,3,Up to 5 years,Traditional
154650,2211,3,Up to 5 years,Traditional
188900,2813,3,Between 11 and 20 years,Traditional
175000,2076,3,Up to 5 years,Traditional
162900,2010,3,Up to 5 years,Traditional
115900,2554,3,More than 20 years,Traditional
109000,2145,3,More than 20 years,Traditional
110000,1806,3,Between 11 and 20 years,Traditional
100300,1745,3,More than 20 years,Traditional
126900,2623,3,More than 20 years,Traditional
92000,1401,3,More than 20 years,Traditional
98400,2037,3,More than 20 years,Traditional
66000,1589,3,More than 20 years,Traditional
93300,1501,3,More than 20 years,Traditional
89000,1588,3,More than 20 years,Traditional
97500,1584,3,More than 20 years,Traditional
110000,1945,3,More than 20 years,Traditional
113000,2166,3,More than 20 years,Traditional
99900,1495,3,More than 20 years,Traditional
98500,2296,3,More than 20 years,Traditional
105000,1927,3,More than 20 years,Traditional
112000,1964,3,More than 20 years,Traditional
116300,2773,3,More than 20 years,Traditional
119000,2113,3,More than 20 years,Traditional
143000,2452,3,Between 11 and 20 years,Traditional
116000,2303,3,More than 20 years,Traditional
186000,2940,3,More than 20 years,Traditional
142500,2247,3,Between 6 and 10 years,Traditional
138500,1541,3,Between 11 and 20 years,Traditional
149500,2712,3,More than 20 years,Traditional
106000,1510,3,Between 11 and 20 years,Traditional
111500,2212,3,Between 11 and 20 years,Traditional
144500,1548,3,Between 6 and 10 years,Traditional
120500,2055,3,More than 20 years,Traditional
109900,1860,3,More than 20 years,Traditional
109500,1989,3,Between 11 and 20 years,Traditional
119000,1350,3,Between 6 and 10 years,Traditional
103000,2447,3,More than 20 years,Traditional
139900,2800,3,More than 20 years,Traditional
144000,2389,3,Between 11 and 20 years,Traditional
151900,3624,3,More than 20 years,Traditional
112400,2388,3,More than 20 years,Traditional
119900,2490,3,More than 20 years,Traditional
138000,2481,3,More than 20 years,Traditional
137000,2681,3,More than 20 years,Traditional
127000,2412,3,More than 20 years,Traditional
118830,2130,3,More than 20 years,Traditional
75000,2294,3,More than 20 years,Traditional
82300,1231,3,More than 20 years,Traditional
115000,2205,3,More than 20 years,Traditional
129000,2701,3,More than 20 years,Traditional
98300,1887,3,More than 20 years,Traditional
60000,876,3,More than 20 years,Traditional
119900,2645,3,More than 20 years,Traditional
119500,2482,3,More than 20 years,Traditional
127000,2011,3,More than 20 years,Traditional
85000,1421,3,More than 20 years,Traditional
98500,1460,3,More than 20 years,Traditional
89000,1591,3,More than 20 years,Traditional
103000,2827,3,More than 20 years,Traditional
110000,2005,3,More than 20 years,Traditional
103000,3153,3,More than 20 years,Traditional
119900,2282,3,More than 20 years,Traditional
134000,2086,3,Up to 5 years,Traditional
80000,2120,3,More than 20 years,Traditional
41500,1015,3,More than 20 years,Traditional
67500,1321,3,More than 20 years,Traditional
77500,1330,3,More than 20 years,Traditional
70500,1376,3,More than 20 years,Tradition
87000,1974,3,More than 20 years,Tradition
59895,1865,3,More than 20 years,Tradition
42000,1489,3,More than 20 years,Traditional
124900,2917,3,More than 20 years,Traditional
85000,1562,3,More than 20 years,Traditional
57000,1393,3,More than 20 years,Traditional
93000,1963,3,More than 20 years,Traditional
186900,2678,3,Between 6 and 10 years,Traditional
122000,1889,3,More than 20 years,Traditional
132000,2156,3,More than 20 years,Traditional
135000,3029,3,More than 20 years,Traditional
103500,1483,3,Between 11 and 20 years,Traditional
102500,2196,3,More than 20 years,Traditional
125000,2430,3,More than 20 years,Traditional
130000,2051,3,More than 20 years,Traditional
137900,1595,3,More than 20 years,Traditional
72500,1203,3,More than 20 years,Traditional
138900,2360,3,Between 11 and 20 years,Traditional
109900,1858,3,More than 20 years,Traditional
224900,3555,3,More than 20 years,Traditional
114000,1896,3,Up to 5 years,Traditional
152500,1765,3,More than 20 years,Traditional
148500,2135,3,More than 20 years,Traditional
119000,1389,3,More than 20 years,Traditional
132500,1296,3,Between 11 and 20 years,Traditional
287500,2087,3,More than 20 years,Traditional
190000,2628,3,More than 20 years,Traditional
172500,3310,3,More than 20 years,Traditional
105000,2200,3,More than 20 years,Traditional
61500,1763,3,More than 20 years,Traditional
148000,3027,3,More than 20 years,Traditional
94900,2466,3,More than 20 years,Traditional
63000,2292,3,More than 20 years,Traditional
65500,1277,3,Up to 5 years,Traditional
87000,1377,3,More than 20 years,Traditional
149000,2876,3,More than 20 years,Traditional
120000,3329,3,More than 20 years,Traditional
60000,1131,3,More than 20 years,Traditional
57500,1847,3,More than 20 years,Traditional
66000,1236,3,More than 20 years,Traditional
69900,1837,3,More than 20 years,Traditional
82900,1400,3,More than 20 years,Traditional
45900,1801,3,More than 20 years,Traditional
55500,810,3,More than 20 years,Traditional
33000,1579,3,More than 20 years,Traditional
52900,1482,3,More than 20 years,Traditional
31000,1590,3,More than 20 years,Traditional
95000,2041,3,More than 20 years,Traditional
140000,2238,3,Between 11 and 20 years,Traditional
120459,1590,3,More than 20 years,Traditional
70300,1380,3,Between 6 and 10 years,Traditional
142900,1668,3,Between 11 and 20 years,Traditional
35000,1714,3,More than 20 years,Traditional
165000,1965,3,More than 20 years,Traditional
78000,1916,3,More than 20 years,Traditional
128000,1958,3,Up to 5 years,Traditional
60000,1383,3,More than 20 years,Traditional
144500,2026,3,Up to 5 years,Traditional
169900,2595,3,Between 6 and 10 years,Traditional
127000,1862,3,Between 6 and 10 years,Traditional
143000,1613,3,Between 6 and 10 years,Traditional
153000,1668,3,Between 6 and 10 years,Traditional
170000,2477,3,Between 6 and 10 years,Traditional
172000,2268,3,Between 6 and 10 years,Traditional
112900,2090,3,Between 11 and 20 years,Traditional
176900,2374,3,Up to 5 years,Traditional
130000,2353,3,Between 11 and 20 years,Traditional
64000,1811,,Between 6 and 10 years,Traditional
63000,1386,3,More than 20 years,Traditional
36000,900,3,More than 20 years,Traditional
62500,1763,3,More than 20 years,Traditional
63000,1800,3,More than 20 years,Traditional
146000,1810,3,More than 20 years,Traditional
95000,1801,3,More than 20 years,Traditional
93900,1500,3,More than 20 years,Traditional
22000,1414,3,More than 20 years,Traditional
114000,3299,3,More than 20 years,Traditional
143000,2136,3,Between 6 and 10 years,Traditional
113000,1696,3,Up to 5 years,Traditional
155000,1757,3,Between 6 and 10 years,Traditional
135000,1914,3,Up to 5 years,Traditional
128000,2134,3,Up to 5 years,Traditional
128900,1851,3,Between 6 and 10 years,Traditional
103000,2246,3,More than 20 years,Traditional
168000,1601,3,Up to 5 years,Traditional
109275,1150,3,Up to 5 years,Traditional
92000,1346,3,Between 11 and 20 years,Traditional
117000,2320,3,More than 20 years,Traditional
146715,2467,3,Up to 5 years,Traditional
150900,2458,3,Up to 5 years,Traditional
154650,2459,3,Up to 5 years,Traditional
157500,2458,3,Up to 5 years,Traditional
165330,2459,3,Up to 5 years,Traditional
62241,1615,3,More than 20 years,Traditional
129000,2379,3,Up to 5 years,Traditional
287500,4033,3,More than 20 years,Traditional
84500,1162,3,More than 20 years,Traditional
118000,2798,3,More than 20 years,Traditional
131900,2226,3,Between 6 and 10 years,Traditional
120500,1977,3,Up to 5 years,Traditional
137500,1937,3,Up to 5 years,Traditional
79900,1009,3,More than 20 years,Traditional
114000,1937,3,Up to 5 years,Traditional
118000,1933,3,Up to 5 years,Traditional
91500,1341,3,Between 11 and 20 years,Traditional
75000,1594,3,More than 20 years,Traditional
80000,1183,3,Between 11 and 20 years,Traditional
103100,1772,,Up to 5 years,Traditional
113400,1960,3,Up to 5 years,Traditional
122700,2087,3,Up to 5 years,Traditional
126600,2348,3,Up to 5 years,Traditional
126600,2348,3,Up to 5 years,Traditional
102800,1670,3,Up to 5 years,Traditional
111800,1937,3,Up to 5 years,Traditional
111900,1933,3,Up to 5 years,Traditional
113500,1960,3,Up to 5 years,Traditional
114500,1933,3,Up to 5 years,Traditional
121300,1977,3,Up to 5 years,Traditional
123200,2087,3,Up to 5 years,Traditional
123800,2105,3,Up to 5 years,Traditional
128600,2182,3,Up to 5 years,Traditional
129800,2348,3,Up to 5 years,Traditional
129800,2348,3,Up to 5 years,Traditional
129900,2348,3,Up to 5 years,Traditional
131800,2379,3,Up to 5 years,Traditional
132600,2348,3,Up to 5 years,Traditional
133400,2348,3,Up to 5 years,Traditional
157900,2827,3,Up to 5 years,Traditional
115000,2447,3,More than 20 years,Traditional
67500,2419,3,More than 20 years,Traditional
100000,1556,3,Up to 5 years,Traditional
109300,1886,3,Up to 5 years,Traditional
128200,2379,3,Up to 5 years,Traditional
122100,2087,3,Up to 5 years,Traditional
110800,1937,3,Up to 5 years,Traditional
111900,1933,3,Up to 5 years,Traditional
113100,1933,3,Up to 5 years,Traditional
129400,2182,3,Up to 5 years,Traditional
104000,2095,3,More than 20 years,Traditional
80000,1486,3,More than 20 years,Traditional
103500,2565,3,Between 11 and 20 years,Traditional
72190,1349,3,More than 20 years,Traditional
98000,1680,3,More than 20 years,Traditional
85000,1300,3,More than 20 years,Traditional
86000,2037,3,More than 20 years,Traditional
210000,4046,3,More than 20 years,Traditional
86000,1418,3,More than 20 years,Traditional
102000,2376,3,More than 20 years,Traditional
45000,1130,3,More than 20 years,Traditional
89100,1917,3,Between 11 and 20 years,Traditional
60000,1336,3,More than 20 years,Traditional
72000,1394,3,Between 11 and 20 years,Traditional
89000,1358,3,Between 11 and 20 years,Traditional
51500,1700,3,More than 20 years,Traditional
76000,1433,3,More than 20 years,Traditional
76000,1178,3,More than 20 years,Tradition
73500,1266,3,More than 20 years,Traditional
112900,1215,3,Between 6 and 10 years,Traditional
116900,1910,3,Between 6 and 10 years,Traditional
121000,1952,3,Between 6 and 10 years,Traditional
122000,1308,3,Between 6 and 10 years,Traditional
114000,1744,3,Between 6 and 10 years,Traditional
118750,2215,3,Between 11 and 20 years,Traditional
98500,1152,3,Up to 5 years,Traditional
69000,1236,3,More than 20 years,Traditional
45000,1300,3,More than 20 years,Traditional
131000,2170,3,Between 11 and 20 years,Traditional
184300,3013,4,More than 20 years,Traditional
137500,2905,4,More than 20 years,Traditional
265000,4688,4,More than 20 years,Traditional
114000,2193,4,More than 20 years,Traditional
153000,2789,4,More than 20 years,Traditional
144000,2669,4,More than 20 years,Traditional
118500,2550,4,More than 20 years,Traditional
135000,2573,4,More than 20 years,Traditional
159900,,4,More than 20 years,Traditional
183500,3810,4,More than 20 years,Traditional
142900,2936,4,More than 20 years,Traditional
197000,3123,4,More than 20 years,Traditional
182500,3078,4,More than 20 years,Traditional
119900,2457,4,More than 20 years,Traditional
150000,2800,4,More than 20 years,Traditional
126000,1931,4,More than 20 years,Traditional
237000,4244,4,More than 20 years,Traditional
175000,2267,4,More than 20 years,Traditional
617000,5673,4,More than 20 years,Traditional
163000,2605,4,More than 20 years,Traditional
162000,3280,4,More than 20 years,Traditional
230000,5216,4,More than 20 years,Traditional
118000,2978,4,More than 20 years,Traditional
419900,5736,4,More than 20 years,Traditional
178000,2432,4,More than 20 years,Traditional
200000,3088,4,More than 20 years,Traditional
154000,3179,4,More than 20 years,Traditional
184700,3279,4,More than 20 years,Traditional
275000,4681,4,More than 20 years,Traditional
116500,2518,4,More than 20 years,Traditional
170000,3323,4,Between 11 and 20 years,Traditional
184000,3594,4,Between 11 and 20 years,Traditional
177000,2353,4,Between 11 and 20 years,Traditional
258000,4020,4,Between 11 and 20 years,Traditional
214000,3122,4,Between 11 and 20 years,Traditional
285500,3670,4,Between 11 and 20 years,Traditional
325000,3812,4,Between 11 and 20 years,Traditional
170000,2076,4,Between 11 and 20 years,Traditional
193500,3438,4,Between 11 and 20 years,Traditional
195500,2923,4,Between 11 and 20 years,Traditional
336000,4133,4,Between 11 and 20 years,Traditional
254000,,4,Between 6 and 10 years,Traditional
204000,3222,4,Between 6 and 10 years,Traditional
196900,2642,4,Between 6 and 10 years,Traditional
168000,2760,4,Between 6 and 10 years,Traditional
290000,4215,4,Between 6 and 10 years,Traditional
163500,2517,4,Between 6 and 10 years,Traditional
128000,2083,4,Between 6 and 10 years,Traditional
154000,2235,4,Up to 5 years,Traditional
255000,3251,4,Up to 5 years,Traditional
344900,3972,4,Up to 5 years,Traditional
302000,4255,4,Up to 5 years,Traditional
280000,3983,4,Up to 5 years,Traditional
355000,4325,4,Up to 5 years,Traditional
143900,2948,4,Up to 5 years,Traditional
187400,2226,4,Up to 5 years,Traditional
142000,2532,4,Up to 5 years,Traditional
392250,3535,4,Up to 5 years,Traditional
440000,4411,4,Up to 5 years,Traditional
229900,3060,4,Up to 5 years,Traditional
144500,2122,4,Up to 5 years,Tradition
142000,2280,4,Up to 5 years,Traditional
242900,2866,4,Up to 5 years,Traditional
221000,3039,4,Up to 5 years,Traditional
147000,2280,4,Up to 5 years,Traditional
318600,3600,4,Up to 5 years,Traditional
126900,1886,4,Up to 5 years,Traditional
286000,3010,4,Up to 5 years,Traditional
168075,2624,4,Up to 5 years,Traditional
268900,3557,4,Up to 5 years,Traditional
159850,2376,4,Up to 5 years,Traditional
126500,1954,4,Up to 5 years,Traditional
180000,3993,4,More than 20 years,Traditional
175000,3234,4,More than 20 years,Traditional
295000,3731,4,Between 11 and 20 years,Traditional
675000,5858,4,Between 6 and 10 years,Traditional
164900,2669,4,More than 20 years,Traditional
227500,3094,4,Between 6 and 10 years,Traditional
118900,1872,4,More than 20 years,Traditional
137800,2373,4,More than 20 years,Traditional
158000,3593,4,More than 20 years,Traditional
248900,3206,4,Between 11 and 20 years,Traditional
137900,3150,4,More than 20 years,Traditional
227500,3262,4,Between 6 and 10 years,Traditional
175000,2948,4,More than 20 years,Traditional
182500,3171,4,Between 11 and 20 years,Traditional
219900,3333,4,More than 20 years,Traditional
119637,2830,4,More than 20 years,Traditional
175000,3756,4,More than 20 years,Traditional
148900,2171,4,More than 20 years,Traditional
136000,2210,4,More than 20 years,Traditional
139900,4130,4,More than 20 years,Traditional
150000,3425,4,More than 20 years,Traditional
128900,2770,4,More than 20 years,Traditional
64900,1970,4,More than 20 years,Traditional
243900,2457,4,Between 11 and 20 years,Traditional
400000,3133,4,Between 6 and 10 years,Traditional
315000,2802,4,More than 20 years,Traditional
360000,6213,4,More than 20 years,Traditional
230000,3168,4,Between 6 and 10 years,Traditional
210000,4315,4,More than 20 years,Traditional
600000,6119,4,More than 20 years,Traditional
173000,2532,4,More than 20 years,Traditional
80000,2176,4,More than 20 years,Traditional
71000,1949,4,More than 20 years,Traditional
199000,2027,4,Between 6 and 10 years,Traditional
226000,3368,4,Up to 5 years,Traditional
133000,1976,4,More than 20 years,Traditional
85000,,4,More than 20 years,Traditional
